T [s],p [Pa]
0.083417,0.00040603
0.0835,-0.00013163
0.083583,-0.00037398
0.083667,-0.00063427
0.08375,-0.0011262
0.083833,-0.0016383
0.083917,-0.0020982
0.084,-0.0025497
0.084083,-0.0030733
0.084167,-0.0034257
0.08425,-0.003533
0.084333,-0.0036256
0.084417,-0.003778
0.0845,-0.0039034
0.084583,-0.0039928
0.084667,-0.0040673
0.08475,-0.0039962
0.084833,-0.0038722
0.084917,-0.0035976
0.085,-0.0031047
0.085083,-0.0027067
0.085167,-0.0023385
0.08525,-0.0018918
0.085333,-0.0014741
0.085417,-0.0011761
0.0855,-0.0010691
0.085583,-0.0010789
0.085667,-0.00097304
0.08575,-0.00084673
0.085833,-0.0010556
0.085917,-0.0013778
0.086,-0.0015449
0.086083,-0.0016206
0.086167,-0.0018537
0.08625,-0.0024462
0.086333,-0.002995
0.086417,-0.0033233
0.0865,-0.0035464
0.086583,-0.003584
0.086667,-0.0037175
0.08675,-0.0040557
0.086833,-0.0043529
0.086917,-0.0046811
0.087,-0.0049099
0.087083,-0.0049385
0.087167,-0.0049262
0.08725,-0.0048587
0.087333,-0.0048594
0.087417,-0.004841
0.0875,-0.0047025
0.087583,-0.0046114
0.087667,-0.0045403
0.08775,-0.0043686
0.087833,-0.0041109
0.087917,-0.0039833
0.088,-0.0040077
0.088083,-0.0041441
0.088167,-0.0044388
0.08825,-0.0046504
0.088333,-0.0048218
0.088417,-0.0050731
0.0885,-0.0052457
0.088583,-0.0054573
0.088667,-0.0056695
0.08875,-0.0058411
0.088833,-0.0060727
0.088917,-0.0062364
0.089,-0.0064163
0.089083,-0.0065108
0.089167,-0.0065437
0.08925,-0.0067964
0.089333,-0.0070553
0.089417,-0.0072531
0.0895,-0.0073451
0.089583,-0.0073062
0.089667,-0.0071964
0.08975,-0.0069485
0.089833,-0.0067428
0.089917,-0.0064786
0.09,-0.0061813
0.090083,-0.0060319
0.090167,-0.0058093
0.09025,-0.0056465
0.090333,-0.0056211
0.090417,-0.0056244
0.0905,-0.0057656
0.090583,-0.0058127
0.090667,-0.0058066
0.09075,-0.0058489
0.090833,-0.0057143
0.090917,-0.0056774
0.091,-0.0058083
0.091083,-0.0060312
0.091167,-0.0062587
0.09125,-0.0061491
0.091333,-0.0060074
0.091417,-0.0061648
0.0915,-0.0063949
0.091583,-0.00654
0.091667,-0.0066663
0.09175,-0.0068162
0.091833,-0.0068926
0.091917,-0.0067791
0.092,-0.0064972
0.092083,-0.0060547
0.092167,-0.0053906
0.09225,-0.0047775
0.092333,-0.0042616
0.092417,-0.0036045
0.0925,-0.0030479
0.092583,-0.002705
0.092667,-0.0023695
0.09275,-0.0022058
0.092833,-0.002307
0.092917,-0.0023236
0.093,-0.0021458
0.093083,-0.0018082
0.093167,-0.0013275
0.09325,-0.00087112
0.093333,-0.00040422
0.093417,0.00011131
0.0935,0.00045293
0.093583,0.00053401
0.093667,0.00053702
0.09375,0.00057818
0.093833,0.00058784
0.093917,0.00058622
0.094,0.0008647
0.094083,0.0013852
0.094167,0.0017009
0.09425,0.0019752
0.094333,0.0023864
0.094417,0.0026627
0.0945,0.0028512
0.094583,0.0029405
0.094667,0.0028776
0.09475,0.0027022
0.094833,0.0024774
0.094917,0.0022583
0.095,0.0021448
0.095083,0.0022659
0.095167,0.0022045
0.09525,0.0020553
0.095333,0.001974
0.095417,0.0014687
0.0955,0.00090219
0.095583,0.00068476
0.095667,0.00060728
0.09575,0.00030226
0.095833,-0.00010071
0.095917,-0.00017556
0.096,-0.00026607
0.096083,-0.00032705
0.096167,-0.00025878
0.09625,-0.00032512
0.096333,-0.00045249
0.096417,-0.00073891
0.0965,-0.00093283
0.096583,-0.00084572
0.096667,-0.00074168
0.09675,-0.0007047
0.096833,-0.00067504
0.096917,-0.00046663
0.097,-0.00023059
0.097083,-7.88E-05
0.097167,0.00022519
0.09725,0.00064768
0.097333,0.0010361
0.097417,0.0012392
0.0975,0.0011716
0.097583,0.0010122
0.097667,0.0010734
0.09775,0.0013603
0.097833,0.0016712
0.097917,0.00207
0.098,0.0025568
0.098083,0.002944
0.098167,0.0031787
0.09825,0.0033
0.098333,0.0032651
0.098417,0.0030559
0.0985,0.0028291
0.098583,0.0026676
0.098667,0.002449
0.09875,0.0021813
0.098833,0.001982
0.098917,0.0018266
0.099,0.0016914
0.099083,0.0016834
0.099167,0.0018245
0.09925,0.0018756
0.099333,0.0018193
0.099417,0.0018246
0.0995,0.0018954
0.099583,0.0019648
0.099667,0.0019917
0.09975,0.002116
0.099833,0.0022996
0.099917,0.0024602
0.1,0.0025664
0.10008,0.002652
0.10017,0.0029166
0.10025,0.0031067
0.10033,0.0030808
0.10042,0.003049
0.1005,0.0030797
0.10058,0.00325
0.10067,0.0035498
0.10075,0.0037112
0.10083,0.0035902
0.10092,0.0036849
0.101,0.0041346
0.10108,0.0044844
0.10117,0.0048014
0.10125,0.0051985
0.10133,0.0055018
0.10142,0.0056665
0.1015,0.0057499
0.10158,0.0057898
0.10167,0.0058163
0.10175,0.0059649
0.10183,0.0061949
0.10192,0.0064945
0.102,0.0068234
